Sample in Buffer,Sample in Window,TRIGGER,BRAM_SPI_i/receiver_0/inst/data_in_to_device[31:0]
0,0,0,077ff887
1,1,0,fffff880
2,2,0,7ff8877f
3,3,0,077ff887
4,4,0,fffff880
5,5,0,7ff8877f
6,6,0,077ff986
7,7,0,fffff880
8,8,0,7ff8877f
9,9,0,077ff887
10,10,0,fffff880
11,11,0,7ff8877f
12,12,0,077ff986
13,13,0,fffff880
14,14,0,7ff8877f
15,15,0,067ff887
16,16,0,fffff980
17,17,0,7ff8877f
18,18,0,077ff887
19,19,0,fffff880
20,20,0,7ff8877f
21,21,0,077ff887
22,22,0,fffff880
23,23,0,7ff8877f
24,24,0,077ff986
25,25,0,fffff880
26,26,0,7ff8877f
27,27,0,077ff986
28,28,0,fffff880
29,29,0,7ff8877f
30,30,0,077ff887
31,31,0,fffff880
32,32,0,7ff8877f
33,33,0,077ff986
34,34,0,fffff880
35,35,0,7ff8877f
36,36,0,077ff887
37,37,0,fffff880
38,38,0,7ff8877f
39,39,0,077ff887
40,40,0,fffff980
41,41,0,07ff9867
42,42,0,80077ff8
43,43,0,7ffffff8
44,44,0,867ff987
45,45,0,80067ff9
46,46,0,7ffffff9
47,47,0,867ff986
48,48,0,80067ff9
49,49,0,7ffffff9
50,50,0,877ff987
51,51,0,80077ff8
52,52,0,7ffffff8
53,53,0,807ff987
54,54,0,80047fff
55,55,0,7ffffffb
56,56,0,867ff986
57,57,0,80077ff8
58,58,0,7ffffff8
59,59,0,877ff887
60,60,0,80077ff8
61,61,0,7ffffff8
62,62,0,877ff887
63,63,0,80077ff8
64,64,0,7ffffff8
65,65,0,877ff887
66,66,0,80077ff8
67,67,0,7ffffff8
68,68,0,877ff887
69,69,0,80067ff9
70,70,0,7ffffff8
71,71,0,877ff887
72,72,0,980077f9
73,73,0,877fffff
74,74,0,f8877ff8
75,75,0,f980077f
76,76,0,867fffff
77,77,0,f9867ff9
78,78,0,f980067f
79,79,0,867fffff
80,80,0,f9867ff9
81,81,0,f880067f
82,82,0,877fffff
83,83,0,f8877ff8
84,84,0,f880077f
85,85,0,877fffff
86,86,0,f8877ff8
87,87,0,f880077f
88,88,0,877fffff
89,89,0,f8877ff8
90,90,0,fb80077f
91,91,0,b867ffff
92,92,0,7ff8877f
93,93,0,fff98007
94,94,0,f9867fff
95,95,0,7ff9867f
96,96,0,fff98006
97,97,0,f9867fff
98,98,0,7ff9867f
99,99,0,fff98006
100,100,0,f9867fff
101,101,0,7ff9867f
102,102,0,fff88007
103,103,0,f8877fff
104,104,0,7ff8877f
105,105,0,ffff8800
106,106,0,7ff887ff
107,107,0,067ff887
108,108,0,fffff980
109,109,0,7ff9867f
110,110,0,067ff986
111,111,0,fffff980
112,112,0,7ff9867f
113,113,0,067ff986
114,114,0,fffff980
115,115,0,7ff9867f
116,116,0,077ff986
117,117,0,fffff880
118,118,0,7ff8877f
119,119,0,077ff887
120,120,0,fffff880
121,121,0,7ff8877f
122,122,0,077ff887
123,123,0,fffff880
124,124,0,7ff8877f
125,125,0,077ff887
126,126,0,fffff880
127,127,0,7ff8877f
128,128,0,077ff887
129,129,0,fffff880
130,130,0,7ff8877f
131,131,0,067ff986
132,132,0,fffff880
133,133,0,7ff8877f
134,134,0,077ff887
135,135,0,fffff880
136,136,0,7ff8877f
137,137,0,077ff887
138,138,0,fffff880
139,139,0,7ff8877f
140,140,0,077ff887
141,141,0,fffff880
142,142,0,7ff8877f
143,143,0,077ff887
144,144,0,fffff880
145,145,0,7ff8877f
146,146,0,077ff887
147,147,0,fffff880
148,148,0,7ff8877f
149,149,0,077ff887
150,150,0,fffff880
151,151,0,7ff8877f
152,152,0,077ff887
153,153,0,fffff880
154,154,0,7ff8877f
155,155,0,077ff986
156,156,0,fffff880
157,157,0,7ff8877f
158,158,0,0077f986
159,159,0,ffffff98
160,160,0,877ff887
161,161,0,80007ff8
162,162,0,7fffffff
163,163,0,867ff984
164,164,0,80067ff9
165,165,0,47ffffff
166,166,0,f8877ff8
167,167,0,f980077f
168,168,0,867fffff
169,169,0,f9867ff9
170,170,0,f980067f
171,171,0,867fffff
172,172,0,f9867ff9
173,173,0,f980067f
174,174,0,867fffff
175,175,0,ff8877f9
176,176,0,fff80047
177,177,0,f9877fff
178,178,0,7ff9867f
179,179,0,fff98006
180,180,0,f9867fff
181,181,0,77ff847f
182,182,0,ffffb800
183,183,0,7ff8877f
184,184,0,067ff986
185,185,0,fffff980
186,186,0,7ff9867f
187,187,0,067ff986
188,188,0,fffff980
189,189,0,7ff9867f
190,190,0,067ff986
191,191,0,ffffff80
192,192,0,67ffb847
193,193,0,007fff88
194,194,0,fffffb80
195,195,0,7ff9867f
196,196,0,0077ff86
197,197,0,ffffff88
198,198,0,77ff847f
199,199,0,8007ff98
200,200,0,7ffffff8
201,201,0,867ff986
202,202,0,80067ff9
203,203,0,7ffffff9
204,204,0,867ff986
205,205,0,80067ff9
206,206,0,7ffffff9
207,207,0,867ff986
208,208,0,80067ff9
209,209,0,7ffffff9
210,210,0,867ff986
211,211,0,80077ff8
212,212,0,7ffffff8
213,213,0,877ff887
214,214,0,80077ff8
215,215,0,7ffffff8
216,216,0,877ff887
217,217,0,80077ff8
218,218,0,7ffffff8
219,219,0,877ff887
220,220,0,80077ff8
221,221,0,7ffffff8
222,222,0,877ff887
223,223,0,80077ff8
224,224,0,7ffffff8
225,225,0,877ff887
226,226,0,80077ff8
227,227,0,7ffffff8
228,228,0,877ff887
229,229,0,80077ff8
230,230,0,7ffffff8
231,231,0,877ff887
232,232,0,80077ff8
233,233,0,7ffffff8
234,234,0,877ff887
235,235,0,80077ff8
236,236,0,7ffffff8
237,237,0,877ff887
238,238,0,80077ff8
239,239,0,7ffffff8
240,240,0,877ff887
241,241,0,80077ff8
242,242,0,7ffffff8
243,243,0,877ff887
244,244,0,80077ff8
245,245,0,7ffffff9
246,246,0,877ff887
247,247,0,80077ff8
248,248,0,7ffffff8
249,249,0,877ff887
250,250,0,80077ff8
251,251,0,7ffffff9
252,252,0,877ff887
253,253,0,80077ff8
254,254,0,7ffffff8
255,255,0,877ff887
256,256,0,80077ff8
257,257,0,7ffffff9
258,258,0,877ff887
259,259,0,80067ff8
260,260,0,7ffffff9
261,261,0,877ff887
262,262,0,80067ff8
263,263,0,7ffffff8
264,264,0,867ff887
265,265,0,80077ff9
266,266,0,7ffffff8
267,267,0,877ff887
268,268,0,80067ff8
269,269,0,7ffffff9
270,270,0,877ff887
271,271,0,80077ff8
272,272,0,7ffffff8
273,273,0,877ff887
274,274,0,80077ff8
275,275,0,7ffffff8
276,276,0,877ff887
277,277,0,80077ff8
278,278,0,7ffffff8
279,279,0,877ff887
280,280,0,80077ff8
281,281,0,7ffffff8
282,282,0,877ff887
283,283,0,80077ff8
284,284,0,7ffffff8
285,285,0,877ff887
286,286,0,80077ff8
287,287,0,7ffffff8
288,288,0,877ff887
289,289,0,80077ff8
290,290,0,7ffffff8
291,291,0,877ff887
292,292,0,80077ff8
293,293,0,7ffffff8
294,294,0,877ff887
295,295,0,80077ff8
296,296,0,7ffffff8
297,297,0,877ff887
298,298,0,80077ff8
299,299,0,7ffffff8
300,300,0,877ff887
301,301,0,80077ff8
302,302,0,7ffffff8
303,303,0,877ff887
304,304,0,80077ff8
305,305,0,7ffffff9
306,306,0,877ff887
307,307,0,80077ff8
308,308,0,7ffffff8
309,309,0,877ff887
310,310,0,80077ff8
311,311,0,7ffffff8
312,312,0,877ff887
313,313,0,80077ff8
314,314,0,7ffffff8
315,315,0,877ff887
316,316,0,80077ff8
317,317,0,7ffffff8
318,318,0,877ff887
319,319,0,80077ff8
320,320,0,7ffffff8
321,321,0,877ff887
322,322,0,80077ff8
323,323,0,7ffffff8
324,324,0,877ff887
325,325,0,80077ff8
326,326,0,7ffffff8
327,327,0,877ff887
328,328,0,80077ff8
329,329,0,7ffffff8
330,330,0,877ff887
331,331,0,88007ff9
332,332,0,87ffffff
333,333,0,f8877ff8
334,334,0,f880077f
335,335,0,867fffff
336,336,0,f9867ff9
337,337,0,f980067f
338,338,0,877fffff
339,339,0,f8877ff8
340,340,0,f880077f
341,341,0,877fffff
342,342,0,f8877ff8
343,343,0,f880077f
344,344,0,877fffff
345,345,0,f8877ff8
346,346,0,f880077f
347,347,0,877fffff
348,348,0,f8877ff8
349,349,0,ff88007f
350,350,0,f887ffff
351,351,0,7ff8877f
352,352,0,fff98007
353,353,0,f9867fff
354,354,0,7ff9867f
355,355,0,fff98006
356,356,0,f9867fff
357,357,0,7ff9867f
358,358,0,fff98006
359,359,0,f9867fff
360,360,0,7ff8877f
361,361,0,fff88007
362,362,0,f8877fff
363,363,0,7ff8877f
364,364,0,fff88007
365,365,0,f8877fff
366,366,0,7ff8877f
367,367,0,fff88007
368,368,0,ff807fff
369,369,0,7ffb847f
370,370,0,fff98006
371,371,0,f8877fff
372,372,0,7ff8877f
373,373,0,fff88007
374,374,0,f8877fff
375,375,0,7ff8877f
376,376,0,fff98006
377,377,0,f8877fff
378,378,0,7ff8877f
379,379,0,fff88007
380,380,0,f8877fff
381,381,0,7ff9867f
382,382,0,fff88007
383,383,0,f8877fff
384,384,0,7ff8877f
385,385,0,fff88007
386,386,0,f8877fff
387,387,0,7ff8877f
388,388,0,fff88007
389,389,0,f8877fff
390,390,0,7ff9867f
391,391,0,fff88007
392,392,0,f8877fff
393,393,0,7ff9867f
394,394,0,fff88007
395,395,0,f8877fff
396,396,0,7ff9867f
397,397,0,fff88006
398,398,0,f8877fff
399,399,0,7ff8877f
400,400,0,fff88007
401,401,0,f8877fff
402,402,0,7ff9867f
403,403,0,fff88007
404,404,0,f8877fff
405,405,0,7ff8877f
406,406,0,fff98006
407,407,0,f8877fff
408,408,0,7ff8877f
409,409,0,fff88007
410,410,0,f8877fff
411,411,0,7ff8877f
412,412,0,fff88007
413,413,0,f8877fff
414,414,0,7ff8877f
415,415,0,fff88007
416,416,0,f8877fff
417,417,0,7ff8877f
418,418,0,fff88007
419,419,0,f8877fff
420,420,0,7ff9867f
421,421,0,fff88007
422,422,0,f8877fff
423,423,0,7ff8877f
424,424,0,fff88007
425,425,0,f8877fff
426,426,0,7ff8877f
427,427,0,fff88007
428,428,0,f8877fff
429,429,0,7ff9867f
430,430,0,fff88007
431,431,0,f8877fff
432,432,0,7ff8877f
433,433,0,fff88007
434,434,0,f8877fff
435,435,0,7ff8877f
436,436,0,fff88007
437,437,0,f8877fff
438,438,0,7ff8877f
439,439,0,fff88007
440,440,0,f8877fff
441,441,0,7ff8877f
442,442,0,fff88007
443,443,0,f8877fff
444,444,0,7ff9867f
445,445,0,fff88007
446,446,0,f8877fff
447,447,0,7ff8877f
448,448,0,fff88007
449,449,0,f8877fff
450,450,0,7ff9867f
451,451,0,fff88007
452,452,0,f8877fff
453,453,0,7ff8877f
454,454,0,fff88007
455,455,0,f8877fff
456,456,0,7ff8877f
457,457,0,fff88007
458,458,0,f8877fff
459,459,0,7ff8877f
460,460,0,fff88007
461,461,0,f8877fff
462,462,0,7ff9867f
463,463,0,fff88007
464,464,0,f8877fff
465,465,0,7ff9867f
466,466,0,fff88007
467,467,0,f8877fff
468,468,0,7ff9867f
469,469,0,fff88007
470,470,0,f8877fff
471,471,0,7ff8877f
472,472,0,fff88007
473,473,0,f8877fff
474,474,0,7ff8877f
475,475,0,fff98007
476,476,0,f8877fff
477,477,0,7ff8877f
478,478,0,fff88007
479,479,0,f8877fff
480,480,0,7ff9867f
481,481,0,fff88007
482,482,0,f8877fff
483,483,0,7ff9867f
484,484,0,fffb8007
485,485,0,ffb867ff
486,486,0,077ff887
487,487,0,fffff880
488,488,0,7ff9867f
489,489,0,067ff986
490,490,0,fffff980
491,491,0,7ff9867f
492,492,0,067ff986
493,493,0,fffff980
494,494,0,7ff8877f
495,495,0,077ff887
496,496,0,fffff880
497,497,0,7ff9877f
498,498,0,047fff80
499,499,0,fffffb80
500,500,0,7ff9867f
501,501,0,077ff887
502,502,0,fffff880
503,503,0,67ff887f
504,504,0,8007ffb8
505,505,0,7ffffff8
506,506,0,867ff986
507,507,0,80067ff9
508,508,0,7ffffff9
509,509,0,8877f986
510,510,0,f80047ff
511,511,0,867fffff
512,512,1,f9867ff9
513,513,0,f980067f
514,514,0,867fffff
515,515,0,f9867ff9
516,516,0,f980067f
517,517,0,867fffff
518,518,0,ff8877fb
519,519,0,fb80007f
520,520,0,867fffff
521,521,0,f9867ff9
522,522,0,f980067f
523,523,0,867fffff
524,524,0,f9867ff9
525,525,0,f880077f
526,526,0,877fffff
527,527,0,ff887ff9
528,528,0,fff80067
529,529,0,fb877fff
530,530,0,07ff8877
531,531,0,fffff880
532,532,0,47ff887f
533,533,0,80077ff8
534,534,0,47fffffb
535,535,0,f9877ff8
536,536,0,ff80047f
537,537,0,807fffff
538,538,0,ff807fff
539,539,0,ff80007f
540,540,0,807fffff
541,541,0,ff807fff
542,542,0,ff80007f
543,543,0,847fffff
544,544,0,fb847ffb
545,545,0,fb80047f
546,546,0,847fffff
547,547,0,fb847ffb
548,548,0,f980067f
549,549,0,867fffff
550,550,0,f9867ff9
551,551,0,f980067f
552,552,0,867fffff
553,553,0,f9867ff9
554,554,0,f980067f
555,555,0,867fffff
556,556,0,f9867ff9
557,557,0,f880067f
558,558,0,877fffff
559,559,0,f8877ff8
560,560,0,f880077f
561,561,0,877fffff
562,562,0,f8877ff8
563,563,0,ff88007f
564,564,0,f8877fff
565,565,0,7ff9877f
566,566,0,ffff9800
567,567,0,7ff8877f
568,568,0,8047ff88
569,569,0,77fffff8
570,570,0,f887ff88
571,571,0,fb80067f
572,572,0,807fffff
573,573,0,ff807fff
574,574,0,ff80007f
575,575,0,807fffff
576,576,0,ff807fff
577,577,0,ff88007f
578,578,0,f8877fff
579,579,0,7ffb847f
580,580,0,ffff8000
581,581,0,ff807fff
582,582,0,7fff807f
583,583,0,fffb8004
584,584,0,fb847fff
585,585,0,7ffb847f
586,586,0,fffb8004
587,587,0,fb867fff
588,588,0,07ff9877
589,589,0,fffff880
590,590,0,7ff9867f
591,591,0,047ffb86
592,592,0,fffffb80
593,593,0,7ffb847f
594,594,0,067ffb84
595,595,0,fffff980
596,596,0,7ff9867f
597,597,0,067ff986
598,598,0,fffff980
599,599,0,7ff9867f
600,600,0,067ff986
601,601,0,fffff980
602,602,0,7ff9867f
603,603,0,077ff987
604,604,0,fffff880
605,605,0,7ff8877f
606,606,0,077ff887
607,607,0,fffff880
608,608,0,7ff8877f
609,609,0,077ff887
610,610,0,fffff880
611,611,0,7ff8877f
612,612,0,077ff887
613,613,0,fffff880
614,614,0,7ff8877f
615,615,0,067ff986
616,616,0,fffff880
617,617,0,7ff8877f
618,618,0,077ff887
619,619,0,fffff880
620,620,0,7ff8877f
621,621,0,077ff986
622,622,0,fffff880
623,623,0,7ff8877f
624,624,0,077ff887
625,625,0,fffff880
626,626,0,7ff8877f
627,627,0,077ff887
628,628,0,fffff880
629,629,0,7ff8877f
630,630,0,077ff887
631,631,0,fffff880
632,632,0,7ff8877f
633,633,0,077ff986
634,634,0,fffff880
635,635,0,7ff8877f
636,636,0,077ff986
637,637,0,fffff880
638,638,0,7ff8877f
639,639,0,077ff887
640,640,0,fffff880
641,641,0,7ff8877f
642,642,0,077ff887
643,643,0,fffff880
644,644,0,7ff8877f
645,645,0,077ff887
646,646,0,fffff880
647,647,0,7ff8877f
648,648,0,077ff887
649,649,0,fffff880
650,650,0,7ff8877f
651,651,0,077ff887
652,652,0,fffff880
653,653,0,7ff8877f
654,654,0,077ff887
655,655,0,fffff880
656,656,0,77f9867f
657,657,0,0047ff88
658,658,0,7ffffff8
659,659,0,877ff887
660,660,0,80077ff8
661,661,0,7ffffff8
662,662,0,887ff987
663,663,0,f80047ff
664,664,0,877fffff
665,665,0,f9867ff8
666,666,0,f980067f
667,667,0,867fffff
668,668,0,f9867ff9
669,669,0,f980067f
670,670,0,867fffff
671,671,0,f9867ff9
672,672,0,f980067f
673,673,0,877fffff
674,674,0,f8877ff8
675,675,0,f880077f
676,676,0,877fffff
677,677,0,f9877ff8
678,678,0,ff98007f
679,679,0,f8877fff
680,680,0,7ff8877f
681,681,0,fff98006
682,682,0,f9867fff
683,683,0,7ff9867f
684,684,0,fff98006
685,685,0,f9867fff
686,686,0,7ff9867f
687,687,0,fff98006
688,688,0,f9867fff
689,689,0,7ff9867f
690,690,0,ffff8000
691,691,0,f9847fff
692,692,0,7ff9867f
693,693,0,fff98006
694,694,0,f8877fff
695,695,0,7ff8877f
696,696,0,fff88007
697,697,0,f8877fff
698,698,0,7ff8877f
699,699,0,fff88007
700,700,0,f8877fff
701,701,0,7ff8877f
702,702,0,fff88007
703,703,0,f8877fff
704,704,0,7ff8877f
705,705,0,fff98006
706,706,0,f8877fff
707,707,0,7ff8877f
708,708,0,fff88007
709,709,0,f8877fff
710,710,0,7ff9867f
711,711,0,fff88006
712,712,0,f8877fff
713,713,0,7ff8877f
714,714,0,fff88007
715,715,0,f8877fff
716,716,0,7ff8877f
717,717,0,fff88007
718,718,0,f8877fff
719,719,0,7ff8877f
720,720,0,fff88007
721,721,0,f8877fff
722,722,0,7ff9867f
723,723,0,fff88007
724,724,0,f8877fff
725,725,0,7ff8877f
726,726,0,fff88007
727,727,0,f8877fff
728,728,0,7ff9867f
729,729,0,ffff8006
730,730,0,7ff847ff
731,731,0,077ff887
732,732,0,fffff880
733,733,0,7ff9867f
734,734,0,067ff986
735,735,0,fffff980
736,736,0,7ff9877f
737,737,0,077ff987
738,738,0,fffff880
739,739,0,7ff8877f
740,740,0,077ff887
741,741,0,fffff880
742,742,0,7ff8877f
743,743,0,077ff887
744,744,0,fffff880
745,745,0,7ff8877f
746,746,0,077ff887
747,747,0,fffff880
748,748,0,7ff8877f
749,749,0,077ff887
750,750,0,fffff880
751,751,0,7ff8877f
752,752,0,077ff887
753,753,0,fffff880
754,754,0,7ff8877f
755,755,0,077ff887
756,756,0,fffff880
757,757,0,7ff8877f
758,758,0,077ff887
759,759,0,fffff880
760,760,0,7ff8877f
761,761,0,077ff887
762,762,0,fffff880
763,763,0,7ff8877f
764,764,0,077ff887
765,765,0,fffff880
766,766,0,7ff8877f
767,767,0,077ff887
768,768,0,fffff880
769,769,0,7ff8877f
770,770,0,077ff887
771,771,0,fffff880
772,772,0,7ff8877f
773,773,0,077ff887
774,774,0,fffff880
775,775,0,7ff8877f
776,776,0,077ff887
777,777,0,fffff880
778,778,0,7ff8877f
779,779,0,067ff887
780,780,0,fffff880
781,781,0,7ff8877f
782,782,0,077ff887
783,783,0,fffff880
784,784,0,7ff8877f
785,785,0,067ff887
786,786,0,fffff980
787,787,0,7ff8877f
788,788,0,077ff887
789,789,0,fffff880
790,790,0,7ff8877f
791,791,0,077ff887
792,792,0,fffff880
793,793,0,7ff8877f
794,794,0,077ff887
795,795,0,fffff880
796,796,0,7ff8877f
797,797,0,077ff887
798,798,0,fffff880
799,799,0,7ff8877f
800,800,0,077ff887
801,801,0,fffff880
802,802,0,7ff8877f
803,803,0,077ff887
804,804,0,fffff880
805,805,0,7ff8877f
806,806,0,077ff986
807,807,0,fffff880
808,808,0,7ff8877f
809,809,0,077ff887
810,810,0,fffff880
811,811,0,7ff8877f
812,812,0,077ff887
813,813,0,fffff880
814,814,0,7ff8877f
815,815,0,077ff887
816,816,0,fffff980
817,817,0,7ff8877f
818,818,0,007ff987
819,819,0,ffffff98
820,820,0,877ff887
821,821,0,980077f9
822,822,0,877fffff
823,823,0,f9877ff8
824,824,0,f980067f
825,825,0,867fffff
826,826,0,fb867ff9
827,827,0,ff980077
828,828,0,f9877fff
829,829,0,47ff887f
830,830,0,ffff9800
831,831,0,ff8877ff
832,832,0,7fff807f
833,833,0,fffb8000
834,834,0,fb847fff
835,835,0,7ffb847f
836,836,0,fffb8004
837,837,0,fb867fff
838,838,0,07ff9877
839,839,0,fffff880
840,840,0,77fb867f
841,841,0,0007ff88
842,842,0,ffffffb8
843,843,0,7fff8077
844,844,0,047fff80
845,845,0,fffffb80
846,846,0,7ffb847f
847,847,0,067ff986
848,848,0,fffff980
849,849,0,7ff9867f
850,850,0,067ff986
851,851,0,fffff980
852,852,0,77f9867f
853,853,0,8047ff88
854,854,0,7ffffff8
855,855,0,8877f987
856,856,0,f88047ff
857,857,0,867fffff
858,858,0,ff9877fb
859,859,0,fff88007
860,860,0,fb847fff
861,861,0,47ff887f
862,862,0,fffff880
863,863,0,7ffb847f
864,864,0,007fff80
865,865,0,ffffff80
866,866,0,7fff807f
867,867,0,007fff80
868,868,0,ffffff80
869,869,0,67ff847f
870,870,0,80077fb8
871,871,0,7ffffff8
872,872,0,b877ff84
873,873,0,f980077f
874,874,0,f867ffff
875,875,0,77f9877f
876,876,0,ffffb800
877,877,0,7ffb847f
878,878,0,0077ff80
879,879,0,ffffff88
880,880,0,77ff8877
881,881,0,0077ff88
882,882,0,ffffff88
883,883,0,7fff807f
884,884,0,007fff80
885,885,0,ffffff80
886,886,0,7fff807f
887,887,0,047ffb84
888,888,0,fffffb80
889,889,0,7ffb847f
890,890,0,067ffb84
891,891,0,fffff980
892,892,0,7ff9867f
893,893,0,067ff986
894,894,0,fffff980
895,895,0,7ff9867f
896,896,0,067ff986
897,897,0,fffff980
898,898,0,7ff9867f
899,899,0,077ff986
900,900,0,fffff980
901,901,0,7ff8877f
902,902,0,077ff887
903,903,0,fffff880
904,904,0,7ff8877f
905,905,0,077ff887
906,906,0,fffff880
907,907,0,7ff8877f
908,908,0,077ff887
909,909,0,fffff880
910,910,0,7ff8877f
911,911,0,077ff986
912,912,0,fffff880
913,913,0,7ff8877f
914,914,0,067ff986
915,915,0,fffffb80
916,916,0,877ff847
917,917,0,80077ff8
918,918,0,47fffffb
919,919,0,f8877ff8
920,920,0,f980067f
921,921,0,867fffff
922,922,0,f9867ff9
923,923,0,f980067f
924,924,0,867fffff
925,925,0,f9867ff9
926,926,0,f980067f
927,927,0,867fffff
928,928,0,f9867ff9
929,929,0,f980067f
930,930,0,877fffff
931,931,0,f8877ff9
932,932,0,f880077f
933,933,0,877fffff
934,934,0,f8877ff8
935,935,0,f880077f
936,936,0,877fffff
937,937,0,f8877ff8
938,938,0,f880077f
939,939,0,877fffff
940,940,0,f8877ff8
941,941,0,f880077f
942,942,0,877fffff
943,943,0,f8877ff8
944,944,0,f880077f
945,945,0,877fffff
946,946,0,f8877ff8
947,947,0,f980067f
948,948,0,877fffff
949,949,0,fb877ff8
950,950,0,ff800077
951,951,0,867fffff
952,952,0,f8867ff9
953,953,0,f880077f
954,954,0,877fffff
955,955,0,f8877ff8
956,956,0,f880077f
957,957,0,877fffff
958,958,0,f8877ff8
959,959,0,f880077f
960,960,0,877fffff
961,961,0,f8877ff8
962,962,0,f880077f
963,963,0,877fffff
964,964,0,f9867ff8
965,965,0,f880077f
966,966,0,877fffff
967,967,0,f8877ff8
968,968,0,f880077f
969,969,0,877fffff
970,970,0,f8877ff8
971,971,0,f980067f
972,972,0,877fffff
973,973,0,f8877ff8
974,974,0,f880077f
975,975,0,877fffff
976,976,0,ff8877f9
977,977,0,fff80047
978,978,0,f8877fff
979,979,0,67ff887f
980,980,0,fffff800
981,981,0,7ff8877f
982,982,0,067ff986
983,983,0,fffff980
984,984,0,7ff9867f
985,985,0,0077fb86
986,986,0,7fffffb8
987,987,0,867ff887
988,988,0,80067ff9
989,989,0,7ffffffb
990,990,0,847ffb84
991,991,0,80067ffb
992,992,0,7ffffff9
993,993,0,867ff986
994,994,0,80067ff9
995,995,0,7ffffff9
996,996,0,867ff986
997,997,0,80067ff9
998,998,0,7ffffff9
999,999,0,867ff986
1000,1000,0,80067ff9
1001,1001,0,7ffffff9
1002,1002,0,877ff987
1003,1003,0,80077ff8
1004,1004,0,7ffffff8
1005,1005,0,877ff887
1006,1006,0,80077ff8
1007,1007,0,7ffffff8
1008,1008,0,877ff887
1009,1009,0,80077ff8
1010,1010,0,7ffffff8
1011,1011,0,877ff887
1012,1012,0,80077ff8
1013,1013,0,7ffffff8
1014,1014,0,877ff887
1015,1015,0,80077ff8
1016,1016,0,7ffffff8
1017,1017,0,877ff887
1018,1018,0,80077ff8
1019,1019,0,7ffffff8
1020,1020,0,877ff887
1021,1021,0,80077ff8
1022,1022,0,67fffff9
1023,1023,0,f887ffb8
